n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
1,1,Changing the Subject,One,"Fine, but what about what your lot did in 2019?",Whataboutery,"It is not a defence and it is not meant to be. It is a change of subject that feels like a rebuttal, because it puts you on the back foot morally. You now have two choices, and both lose: defend 2019, or refuse and look like you are dodging.","Take the third option. ""That might well be true. It doesn't make this true or false either way, so let's do that one after."" You have conceded nothing, refused nothing, and put the swerve on a shelf where it can be collected later. It almost never is."
2,1,Changing the Subject,One,I think you're missing the bigger picture here.,The Zoom Out,"Any specific claim can be made to look small by standing further back. The move trades a checkable statement for an unfalsifiable one, and it flatters the person making it as the one with perspective while you fuss over particulars.","Agree and hold. ""Probably. The bigger picture still has to be made of true things, and this one is the bit I'm asking about."" The bigger picture is not a place where specific facts stop mattering, and saying so out loud makes the move visible to everyone listening."
3,1,Changing the Subject,One,The real question is whether we should be doing this at all.,Substituting the Question,"It sounds like depth. It reframes your question as superficial and replaces it with one the speaker would rather answer, and because the new question is larger, arguing to keep the old one looks small-minded.","""That's a real question and I'd like to get to it. This one has an answer we can reach today, so can we finish it first?"" Sequencing beats refusing. You are not saying their question is bad, only that it is next."
4,1,Changing the Subject,One,"Look, honestly, I think we're saying the same thing.",The False Merge,"It ends the disagreement by declaring it over, and it does so generously, which makes contradicting it feel churlish. If you accept, the difference between your positions quietly becomes yours to have imagined.","""We might be. Let me check: do you think X?"" Name the specific claim you believe you differ on. Either they agree and the merge was real, or they do not and the disagreement is back on the table with its outline sharper than before."
5,1,Changing the Subject,One,Let's not get bogged down in the details.,Dismissing the Specific,"Details are where claims are checkable, so the move removes the ground on which the speaker can lose. It also borrows the language of leadership. Big people see the shape of things; small people count.","""Happy not to, but this one is load-bearing."" Then say what it holds up. A detail that changes the conclusion is not a detail, and once you have shown which conclusion depends on it, refusing to discuss it stops looking like decisiveness."
6,1,Changing the Subject,One,That's a whole other conversation.,Deferring Forever,"It sounds like discipline. Perfectly reasonable in a meeting with an agenda, and the trick is that the other conversation is never scheduled. The point is not postponed; it is disposed of politely.","Take the deferral literally. ""Agreed. When?"" A date makes the difference between managing an agenda and burying a topic, and the answer tells you which one you are in without either of you having to say so."
7,1,Changing the Subject,One,"Anyway, as I was saying before, the thing about the budget is...",Talking Over the Answer,"It does not engage the answer at all. It behaves as though the answer did not happen, and because interrupting to point that out costs you the room's sympathy, the non-response stands.","Wait for the pause, then flatly: ""Before the budget, I answered your question about the timeline. Do you want to respond to that, or shall we move on?"" The offer to move on is what makes it survivable. It gives them an exit while making the skip a matter of record."
8,1,Changing the Subject,One,You've clearly thought about this a great deal.,The Compliment Exit,"Praise closes a conversation more effectively than disagreement. It signals warmth, ends the exchange, and concedes nothing, and anyone who pushes past a compliment looks like they cannot take yes for an answer.","Take the warmth and keep going. ""Thank you. So where do you land on it?"" Pleasant, unmoved, and it converts the compliment back into a question, which was what you asked for."
9,1,Changing the Subject,One,"Well, it's more complicated than that.",Complexity as a Shield,"It is almost always true, which is what makes it so useful. Everything is more complicated than any summary of it. Stated without a follow-up, it functions as a refusal dressed as sophistication.","""It usually is. Which part have I got wrong?"" Complexity that cannot name the specific simplification is not complexity, it is a stop sign. Asking makes them either supply the correction, which is useful, or reveal there wasn't one."
10,1,Changing the Subject,One,"I mean, at the end of the day, who's to say what's true?",The Fog Machine,"By making everything uncertain, it makes your specific claim no better than theirs. It is the argumentative equivalent of turning off the lights: nobody can see anything, which suits whoever was losing.","Bring it down to something small and checkable. ""Was the report delivered on the fourteenth?"" Universal doubt evaporates on contact with a date, an invoice or a document, and it becomes obvious that the fog was tactical."
11,1,Changing the Subject,One,I think we're just going to have to agree to disagree.,The Premature Truce,"It sounds like maturity and it is often exactly right. The abuse is in the timing: deployed the moment a position is in trouble, it converts a losing argument into a respectable draw, and refusing it makes you the aggressor.","Accept it and put down a marker. ""Fine by me. For the record, the bit I don't think has been answered is X."" You have granted the truce, which costs you nothing, while declining to let the unanswered thing be filed as answered."
12,1,Changing the Subject,One,"Sorry, what were we even talking about?",Losing the Thread on Purpose,"After enough diversions, genuine confusion is indistinguishable from manufactured confusion, and the person who restates the question does the work while sounding obsessive for having tracked it.","Have it written down. This is the entire counter, and it is why people who argue for a living take notes. ""You asked whether the figures were signed off. I said no. You asked who by."" Reading it back is unanswerable, and the fact that you can do it once changes how the next hour goes."
13,2,Rigging the Terms,One,"Well, it rather depends what you mean by fair.",Definitional Retreat,"It answers a claim with a question, and the question is unanswerable in the time available. Any definition you offer can be met with an edge case, so you spend the argument defending a dictionary instead of a position.","Refuse the abstraction and supply an instance. ""I mean that Ali was paid forty percent less for the same job. Is that fair?"" A concrete case cannot be dissolved into definitional fog, and if they still will not answer, everybody watching now knows why."
14,2,Rigging the Terms,One,"That isn't really capitalism, though. Real capitalism has never been tried.",No True Scotsman,"It saves the idea by expelling every example of it, and it does so with no visible cost, because the speaker never has to admit anything failed. The category simply loses members until only successes remain.","Ask what would count. ""What would a real one look like, and has it ever existed anywhere?"" If nothing in history qualifies, the claim has quietly become unfalsifiable, and that is worth saying plainly rather than arguing about Sweden."
15,2,Rigging the Terms,One,I'd call that a rounding error rather than a loss.,Renaming the Thing,"The new word carries a different emotional weight while pointing at the same facts, and because it is not technically false, correcting it looks like quibbling. Repeated a few times, the new name sticks and the thing feels smaller.","Put the number back in. ""It's eighty thousand pounds. Whatever we call it, is eighty thousand acceptable?"" Names bend. Figures do not, and returning to the figure makes the renaming look like what it was."
16,2,Rigging the Terms,One,It's not a cut. It's a realignment of resources.,The Euphemism,"Euphemism does not deceive anybody, which is not its job. Its job is to make objecting feel hysterical. Complaining about a realignment sounds unhinged in a way that complaining about a cut does not.","Ask the mechanical question. ""Will there be less money in that budget next year than this year?"" A yes converts the euphemism back into the thing, without you ever having accused anyone of spin."
17,2,Rigging the Terms,One,So you accept the project was a failure.,Upgrading Your Concession,"You conceded something small and it comes back enlarged. Because you did concede, denying the enlarged version looks like backtracking, and you spend the next five minutes defending a position you never held.","Restate your own concession precisely and immediately. ""I said the launch date slipped. That's what I accept."" Do it the moment it happens. Left for even a minute, the upgraded version becomes the one in everybody's memory."
18,2,Rigging the Terms,One,You're using disinterested wrong. It means impartial.,"Policing the Word, Not the Point","The correction is often right, which is what gives it force. It also transfers authority: the person who knows the word looks like the person who knows the subject, and your argument is now on probation for a fault that has nothing to do with it.","Concede instantly and move. ""Fair enough, uninterested. So does the objection stand?"" The concession costs nothing and denies them the thing they were buying, which was the pause."
19,2,Rigging the Terms,One,"By any reasonable definition, this is a success.",Smuggling the Conclusion In,"The conclusion is inside the definition, so agreeing to the definition is agreeing to the conclusion, and the word *reasonable* makes disagreement sound unreasonable before you have opened your mouth.","Unpick it before answering. ""Let's separate those. What's the definition, and then separately, does this meet it?"" Splitting the two makes the smuggling visible, and it turns out that the definition was built around this case."
20,2,Rigging the Terms,One,"Oh come on, everyone knows what I meant.",Refusing to Be Pinned,"It converts a request for precision into an accusation of bad faith, and it works especially well in front of an audience, who do know roughly what was meant and now think you are playing games.","Give them the easiest possible route to precision. ""I think you meant X. Is that right?"" Offering the interpretation rather than demanding one removes the excuse, and if X is wrong they now have to say what is right."
