n,chapter,chapter_title,part,quote,attribution,what_it_buys_you,what_ignoring_it_costs
1,1,The First Hour,One,"Believe it on the first day, not the third.",the Hillfoot parlour door,"Two days. That is all, and it is everything. Those are the only two days when the roads are open, the shops have stock, the taps run and nobody has started deciding who to keep out. Every advantage in this book is downstream of acting while things still look normal. The people who came through the first month had all done the same unremarkable thing: they took an unconfirmed report seriously enough to change their afternoon.","By the third day the decision is made for you and every option left is worse. The petrol stations are dry. The road out is a car park with people walking between the lanes. What you would have bought for money on Tuesday you now have to ask a stranger for, and he has learned things about strangers since Tuesday. There is no version of the third day that is better than the first. Not one."
2,1,The First Hour,One,Fill everything that holds water before the pressure goes.,Samuel Oyelaran,"Nine days for a household, if you fill the baths as well as the pans. Mains pressure outlasts the news by roughly a day and a half, because the towers stay charged for a while after the pumps stop, and that day and a half is a gift nobody thinks to open. Water is the shortest clock you own. Everything else on your list can wait behind it.","You will be walking to open water inside a week, in company, carrying containers, and every one of those words is a danger on its own. The walk is where people meet each other badly. Sam calculated it once on the back of a feed bill. An hour of filling on the first morning saves you about forty miles of walking in the first month, and the forty miles are the part that kills you."
3,1,The First Hour,One,Do not go to the hospital.,Marta Ellison,"Your life, in the first week, and I have never heard this rule seriously argued against by anybody who was in one. A hospital in the first days is the whole population of a district funnelled through four doors, sorted by nobody, at close quarters, in a building nobody can lock. It is the worst room in the county and every instinct you have is pulling you towards it.","Marta went in on the second morning because she was a nurse and it did not occur to her to be anywhere else. She came out on the fourth. Of the people she went in with, she could name two who came out at all. Whatever you have that needs a hospital, the honest arithmetic is that the building will not treat it and will give you something worse. Find a nurse. Do not find a ward."
4,1,The First Hour,One,"Take the shoes, not the photographs.",Deniz Aksoy,"Working feet in the second month, which is not a small thing when everything you do from then on is walking. Boots that fit, two pairs of thick socks, and something waterproof beat every sentimental object you own put together. The rule is about how to pack when you have nine minutes and a panic on you: hands first, feet first, then heat, then food, then water, then paper.","Blisters, then a wound, then a fever, then chapter five. I have watched a man walk out of a burning village carrying a wedding album and no coat. By the end of the week the album was in a hedge. It was heavy and he had nothing to keep the rain off. Take the photographs on the second trip. There is often a second trip. There is never a second pair of feet."
5,1,The First Hour,One,Write down where you have gone and leave it where they will look.,Joyce Attwell,"The chance that your family finds you, which in the first fortnight is better than most people think, because everybody is moving to the same handful of predictable places. A note on the kitchen table, the date on it, the road you took and the name of where you are heading. Joyce added one line to the school list that put families back together for two years: name the second place too, in case the first one is gone.","People who did not leave notes spent the first winter walking. Not searching, walking, in circles, between the four places they thought the others might be, using up the only good months on a problem that a pencil solves. Two of them died on those roads. The note costs you a minute and it is the cheapest thing in this book by a distance."
6,1,The First Hour,One,Get off the main roads before dark on the first night.,the Long Preston roadblock,A night without other people. The A roads on the first evening are a slow river of cars with families in them. All of them are frightened. None of them have eaten. Every one of them is watching what is in the back of your vehicle. Nothing on that road is moving faster than a walk by nine o'clock. The lanes are empty and they go to the same places.,"You will spend the night stationary in a queue, in the dark, with your engine off to save fuel and your doors locked, which is where the first robberies happened and where the first fires started. The block at Long Preston held for eleven hours and then collapsed, and the people who died there died in cars, in a line, three miles from a lane they knew."
7,1,The First Hour,One,The radio is worth more than the car by the third day.,the six o'clock radio,"Information you cannot get any other way, for about a fortnight, and after that the far more useful knowledge of who else is still broadcasting and from where. A wind-up set and a car battery with an inverter will outlive every phone in the house. In the first week the six o'clock bulletin was the only thing telling people which valleys were closed, and it was right more than it was wrong.","You make your decisions from rumour brought by people who have an interest in what you do next. That is how three families ended up walking towards Preston in the second week. Somebody told them there was a centre there. There was no centre. There had been an announcement about a centre, four days earlier, and the announcement had been cancelled the same evening on the radio nobody had."
8,1,The First Hour,One,Lock the door behind you even when you are coming straight back.,Tom Shackleton,"It costs four seconds and it removes an entire category of disaster, which is coming home to a house that has something in it. In the first week this feels absurd. You are carrying a box to the car. You will be ninety seconds. Tom locked the parlour door every single time for three years, including the times he was standing outside it, and he never once had to clear his own building.","Clearing a house you already live in, with your family standing in the yard, in the dark, and no way of knowing whether the thing you can hear is upstairs or in the cellar. The four seconds are not about the door. They are about keeping the habit alive on the days when nothing is wrong, so that it is still there on the day something is."
9,1,The First Hour,One,You are allowed to decide it is nothing and go home.,Nell Shackleton,"Permission to be wrong, which you will need, because most alarms are nothing and a person who cannot stand down will burn out inside a month. Nell was fifteen and said this to a yard full of adults who had been awake for two days on a rumour. Go to bed. It is a dog. It was a dog. The rules in this chapter are cheap insurance, not a way to live, and a household that treats every noise as the outbreak will be exhausted before the outbreak arrives.","Nothing, on the day you stand down wrongly and lose an afternoon. Everything, on the day you are too tired to think because you have not slept properly in three weeks. The whole of chapter one is about spending caution while it is free. This last rule is the reminder that by the second month it is not free any more, and you will have to start choosing."
10,2,Leaving,One,"Decide your trigger before you need it, and write it down.",Ruth Cadogan,"A decision made by the version of you that has slept. The trigger has to be a fact you can check and not a feeling: the mains go off, the second house on the row empties, you hear one in daylight. When the fact arrives you do not deliberate, you execute, and the whole terrible internal argument has already been settled weeks ago by somebody calmer wearing your clothes.","You will make the biggest decision of your life while your hands are shaking, in a house full of things you love, with somebody asking you a question. Nobody does that well. The consistent pattern in the first month is not people leaving too early. It is people leaving four days late, on foot, having missed the window when the vehicle would still have got them there."
